DisciplineCode,SubDisciplineCode,DisciplineDescription,SubDisciplineDescription,Closed,ClosedDate
002,000,Nutritionist, ,0, 
003,000,Accredited Blood and Blood Product Couriers, ,1,20220808
004,000,Chiropractors, ,0, 
007,000,Namibian Practitioners Only (Not recognized by (HPCSA), ,0, 
007,001,Namibian Practitioners Only (Not recognized by (HPCSA),Acupuncturist,0, 
007,002,Namibian Practitioners Only (Not recognized by (HPCSA),Reflexologists,0, 
007,003,Namibian Practitioners Only (Not recognized by (HPCSA),Forensic,0, 
007,999,Namibian Practitioners Only (Not recognized by (HPCSA),Multi Sub-Discipline,0, 
008,000,Homeopathy, ,0, 
009,000,Ambulance Services - Advanced, ,1,20220808
009,000,Biokinetics, ,1,20230523
009,001,Ambulance Services,Basic Life Support Service,0, 
009,002,Ambulance Services,Intermediate Life Support Service,0, 
009,003,Ambulance Services,Advance Life Support Service,0, 
009,004,Ambulance Services,Provincial Ambulance Service,0, 
009,005,Ambulance Services,Emergency Care Support Services (Namibia only),0, 
009,006,Ambulance Services - Public,Public,0, 
009,007,Ambulance Services,Events,0, 
009,008,Ambulance Services,Aero Medical,0, 
009,101,Ambulance Services,Provincial Ambulance - Eastern Cape - Alfred Nzo,0, 
009,102,Ambulance Services,Provincial Ambulance - Eastern Cape - Amatole,0, 
009,103,Ambulance Services,Provincial Ambulance - Eastern Cape - Buffalo City Metropolitan Municipality,0, 
009,104,Ambulance Services,Provincial Ambulance - Eastern Cape - Chris Hani,0, 
009,105,Ambulance Services,Provincial Ambulance - Eastern Cape - Joe Gqabi,0, 
009,106,Ambulance Services,Provincial Ambulance - Eastern Cape - Nelson Mandela Bay Metropolitan Municipality,0, 
009,107,Ambulance Services,Provincial Ambulance - Eastern Cape -  OR Tambo,0, 
009,108,Ambulance Services,Provincial Ambulance - Eastern Cape - Sarah Baartman,0, 
009,999,Ambulance Services,Multi Sub-Discipline,0, 
010,000,Anaesthetists, ,0, 
010,001,Anaesthetists,Pain Medicine (Zimbabwe),0, 
010,002,Anaesthetists,Critical Care,0, 
010,200,Anaesthetists,Locum (Namibia Only),0, 
010,300,Anaesthetists,Limited Private Practice (Namibia Only),0, 
010,999,Anaesthetists,Multi Sub-Discipline,0, 
011,000,Ambulance Services - Intermediate, ,1,20220808
012,000,Dermatology, ,0, 
012,999,Dermatology,Multi Sub-Discipline,0, 
013,000,Ambulance Services - Basic, ,1,20220808
014,000,General Medical Practice, ,0, 
014,000,General Medical Practice, ,1,20241118
014,001,General Medical Practice,Cardiology (Lesotho Practitioners Only),1,20220808
014,002,General Medical Practice,Sexual Health (Lesotho Practitioners only),1,20220808
014,003,General Medical Practice,Point of Care Laboratory (Namibia Only),0, 
014,200,General Medical Practice,Locum (Namibia Only),0, 
014,300,General Medical Practice,Limited Private Practice (Namibia Only),0, 
014,999,General Medical Practice,Multi Sub-Discipline,0, 
014,999,General Medical Practice,Multi Sub-Discipline,1,20220808
015,000,Specialist Family Medicine, ,0, 
015,200,Specialist Family Medicine,Locum (Namibia Only),0, 
016,000,Independent Practice Specialist Obstetrics and Gynaecology, ,0, 
016,001,Independent Practice Specialist Obstetrics and Gynaecology,Critical Care,0, 
016,002,Independent Practice Specialist Obstetrics and Gynaecology,Gynaecological Oncology,0, 
016,003,Independent Practice Specialist Obstetrics and Gynaecology,Medical Genetics,0, 
016,004,Independent Practice Specialist Obstetrics and Gynaecology,Maternal and Foetal Medicine,0, 
016,005,Independent Practice Specialist Obstetrics and Gynaecology,Reproductive Medicine,0, 
016,006,Independent Practice Specialist Obstetrics and Gynaecology,Infectious Diseases,0, 
016,007,Independent Practice Specialist Obstetrics and Gynaecology,Urogynaecology,0, 
016,999,Independent Practice Specialist Obstetrics and Gynaecology,Multi Sub-Discipline,0, 
017,000,Pulmonology, ,1,20220808
018,000,Independent Practice Specialist Medicine, ,0, 
018,001,Independent Practice Specialist Medicine,Clinical Haematology,0, 
018,002,Independent Practice Specialist Medicine,Nephrology,0, 
018,003,Independent Practice Specialist Medicine,Cardiology,0, 
018,004,Independent Practice Specialist Medicine,Endocrinology,0, 
018,005,Independent Practice Specialist Medicine,Pulmonology,0, 
018,006,Independent Practice Specialist Medicine,Critical Care,0, 
018,007,Independent Practice Specialist Medicine,Geriatric Medicine,0, 
018,008,Independent Practice Specialist Medicine,Medical Genetics,0, 
018,009,Independent Practice Specialist Medicine,Infectious Diseases,0, 
018,010,Independent Practice Specialist Medicine,Gastroenterology,0, 
018,011,Independent Practice Specialist Medicine,Medical Oncology,0, 
018,012,Independent Practice Specialist Medicine,Rheumatology,0, 
018,200,Independent Practice Specialist Medicine,Locum (Namibia Only),0, 
018,202,Independent Practice Subspecialist Medicine,Nephrology Locum (Namibia Only),0, 
018,999,Independent Practice Specialist Medicine,Multi Sub-Discipline,0, 
019,000,Gastroenterology, ,1,20220808
020,000,Neurology, ,0, 
021,000,Cardiology, ,0, 
021,001,Cardiology Independent Practice Specialist,Medicine,1,20220808
021,002,Cardiology Independent Practice Specialist,Paediatrics,1,20220808
021,003,Cardiology Independent Practice Specialist,Special Merit,1,20220808
021,999,Cardiology Independent Practice Specialist,Multi Sub-Discipline,1,20220808
022,000,Psychiatry, ,0, 
022,000,Psychiatry, ,1,20250108
022,001,Psychiatry,Addiction Psychiatry,0, 
022,002,Psychiatry,Consultation- Liaison Psychiatry,0, 
022,003,Psychiatry,Neuropsychiatry,0, 
022,004,Psychiatry,Forensic Psychiatry,0, 
022,005,Psychiatry,Child Psychiatry,0, 
022,999,Psychiatry,Multi Sub-Discipline,0, 
023,000,Medical Oncology, ,1,20220808
024,000,Independent Practice Specialist Neurosurgery, ,0, 
024,001,Independent Practice Specialist Neurosurgery,Critical Care,0, 
024,999,Independent Practice Specialist Neurosurgery,Multi Sub-Discipline,0, 
025,000,Nuclear Medicine, ,0, 
025,999,Nuclear Medicine,Multi Sub-Discipline,0, 
026,000,Ophthalmology, ,0, 
027,000,Clinical Haematology, ,0, 
027,001,Clinical Haematology,Pathology (Haematology),0, 
027,002,Clinical Haematology,Paediatrics,0, 
027,003,Clinical Haematology,Medicine,0, 
027,999,Clinical Haematology,Multi Sub-Discipline,0, 
028,000,Orthopaedics, ,0, 
028,999,Orthopaedics,Multi Sub-Discipline,0, 
029,000,Occupational Medicine Independent Practice Specialist, ,0, 
030,000,Otorhinolaryngology, ,0, 
031,000,Rheumatology, ,0, 
031,999,Rheumatology,Multi Sub-Discipline,0, 
032,000,Paediatrics Independent Practice Specialist, ,0, 
032,001,Paediatrics Independent Practice Specialist,Neurology,0, 
032,002,Paediatrics Independent Practice Specialist,Developmental Paediatrics,0, 
032,003,Paediatrics Independent Practice Specialist,Medical Oncology,0, 
032,004,Paediatrics Independent Practice Specialist,Infectious Diseases,0, 
032,005,Paediatrics Independent Practice Specialist,Medical Genetics,0, 
032,006,Paediatrics Independent Practice Specialist,Endocrinology,0, 
032,007,Paediatrics Independent Practice Specialist,Gastroenterology,0, 
032,008,Paediatrics Independent Practice Specialist,Neonatology,0, 
032,009,Paediatrics Independent Practice Specialist,Pulmonology,0, 
032,010,Paediatrics Independent Practice Specialist,Rheumatology,0, 
